Country,Year,Yield,Fertilizer
Denmark,1961,0.365645255,0.078507383
Denmark,1962,0.399126443,0.082992413
Denmark,1963,0.380987352,0.087307587
Denmark,1964,0.42963763,0.096031442
Denmark,1965,0.421022124,0.109606117
Denmark,1966,0.407595242,0.122973301
Denmark,1967,0.416354423,0.130802682
Denmark,1968,0.446284903,0.13607419
Denmark,1969,0.438225737,0.14644683
Denmark,1970,0.402259869,0.15407673
Denmark,1971,0.442438096,0.162268897
Denmark,1972,0.43699534,0.171893407
Denmark,1973,0.414590983,0.189669833
Denmark,1974,0.460893489,0.157150561
Denmark,1975,0.398905248,0.176169927
Denmark,1976,0.363698789,0.177841339
Denmark,1977,0.444308692,0.186876491
Denmark,1978,0.442964316,0.187786864
Denmark,1979,0.454574105,0.193186059
Denmark,1980,0.424563464,0.183026665
Denmark,1981,0.445547639,0.183655585
Denmark,1982,0.49624991,0.190654987
Denmark,1983,0.415191091,0.209571207
Denmark,1984,0.609961386,0.194838109
Denmark,1985,0.566610355,0.184887934
Denmark,1986,0.572670163,0.184272086
Denmark,1987,0.517918783,0.177754615
Denmark,1988,0.569853622,0.183947876
Denmark,1989,0.625586375,0.197131937
Denmark,1990,0.679898697,0.190296379
Denmark,1991,0.63983777,0.179225446
Denmark,1992,0.484972146,0.163702891
Denmark,1993,0.629979488,0.174767734
Denmark,1994,0.60281046,0.175007297
Denmark,1995,0.666092843,0.160786983
Denmark,1996,0.653526795,0.157307249
Denmark,1997,0.683165047,0.152147838
Denmark,1998,0.674265473,0.140290011
Denmark,1999,0.634762377,0.134713129
Denmark,2000,0.68182709,0.132467352
Denmark,2001,0.671131115,0.11977445
Denmark,2002,0.637169536,0.102208479
France,1961,0.226529032,0.047842489
France,1962,0.26117103,0.051232675
France,1963,0.266315908,0.060224166
France,1964,0.273095802,0.065815917
France,1965,0.300201402,0.066673181
France,1966,0.279830032,0.077835111
France,1967,0.328216621,0.088552643
France,1968,0.338465716,0.097083948
France,1969,0.335858465,0.09706311
France,1970,0.323624249,0.114162621
France,1971,0.368063248,0.117976068
France,1972,0.392951008,0.122348152
France,1973,0.412731356,0.139892517
France,1974,0.394877749,0.117880254
France,1975,0.352262679,0.130609386
France,1976,0.329660408,0.140293835
France,1977,0.384078257,0.139901309
France,1978,0.436745826,0.150867641
France,1979,0.430402666,0.163338371
France,1980,0.469032353,0.162029765
France,1981,0.461194031,0.166420703
France,1982,0.485154537,0.164982037
France,1983,0.468477398,0.178053112
France,1984,0.565106139,0.17353679
France,1985,0.546606762,0.176146463
France,1986,0.50180307,0.188342105
France,1987,0.550641368,0.181643281
France,1988,0.582640332,0.185927813
France,1989,0.583489303,0.187867874
France,1990,0.590012828,0.17702506
France,1991,0.619587937,0.182217243
France,1992,0.612996744,0.153008514
France,1993,0.621835319,0.17141558
France,1994,0.612291522,0.179214071
France,1995,0.606754931,0.181878562
France,1996,0.660501859,0.186173736
France,1997,0.659341879,0.178340541
France,1998,0.696529551,0.174595594
France,1999,0.682300445,0.184701907
France,2000,0.671165131,0.168077069
France,2001,0.619358418,0.176543621
France,2002,0.700930809,0.162811857
Germany,1961,0.273224397,0.088174954
Germany,1962,0.327801556,0.102391076
Germany,1963,0.331445042,0.102979711
Germany,1964,0.341423717,0.111096008
Germany,1965,0.318272845,0.130051028
Germany,1966,0.329255701,0.135121062
Germany,1967,0.391195617,0.137065736
Germany,1968,0.400046481,0.146379794
Germany,1969,0.373487889,0.160814149
Germany,1970,0.358248017,0.167258736
Germany,1971,0.404385907,0.172274244
Germany,1972,0.411411167,0.185635731
Germany,1973,0.418617778,0.176958813
Germany,1974,0.454169111,0.186298759
