country,status,year,food_pc,education,hiv,population
Costa Rica,Developing,1961,,3.742251615,0,1296.587
Costa Rica,Developing,1962,11.66412416,3.809926819,0,1345.187
Costa Rica,Developing,1963,11.72932876,3.885935406,0,1393.441
Costa Rica,Developing,1964,11.71584071,3.969647469,0,1440.184
Costa Rica,Developing,1965,11.7463552,4.060448452,0,1487.605
Costa Rica,Developing,1966,11.66789436,4.157739145,0,1538.442
Costa Rica,Developing,1967,11.65481731,4.260935686,0,1588.717
Costa Rica,Developing,1968,11.731091,4.369469562,0,1638.476
Costa Rica,Developing,1969,11.73614834,4.482787605,0,1687.1
Costa Rica,Developing,1970,11.83158041,4.600351998,0,1735.523
Costa Rica,Developing,1971,11.8887094,4.721640269,0,1785.636
Costa Rica,Developing,1972,11.86424758,4.846145294,0,1834.796
Costa Rica,Developing,1973,11.85078357,4.973375298,0,1886.035
Costa Rica,Developing,1974,11.85736854,5.102853854,0,1937.413
Costa Rica,Developing,1975,11.95168062,5.23411988,0,1991.58
Costa Rica,Developing,1976,12.07190855,5.366727645,0,2048.557
Costa Rica,Developing,1977,12.07862594,5.500246762,0,2108.457
Costa Rica,Developing,1978,12.0389106,5.634262196,0,2192.367
Costa Rica,Developing,1979,12.08730051,5.768374256,0,2259.714
Costa Rica,Developing,1980,12.10243188,5.902198601,0,2299.124
Costa Rica,Developing,1981,11.99654196,6.035366237,0,2357.285
Costa Rica,Developing,1982,11.94464028,6.167523517,0,2424.367
Costa Rica,Developing,1983,12.04635449,6.298332142,0,2494.353
Costa Rica,Developing,1984,12.06064772,6.427469162,0,2567.516
Costa Rica,Developing,1985,12.12708339,6.554626973,0,2643.808
Costa Rica,Developing,1986,12.04698755,6.679513319,0,2723.111
Costa Rica,Developing,1987,12.099607,6.801851293,0,2799.811
Costa Rica,Developing,1988,12.10052899,6.921379334,0,2875.267
Costa Rica,Developing,1989,12.11875255,7.037851229,0,2951.454
Costa Rica,Developing,1990,12.17789016,7.151036114,0,3027.175
Costa Rica,Developing,1991,12.18606569,7.260718471,0,3101.029976
Costa Rica,Developing,1992,12.25399455,7.366698132,0,3173.21793
Costa Rica,Developing,1993,12.26039735,7.468790273,0,3244.284869
